adduser	3.115
apt	1.4.10
base-files	9.9+deb9u13
base-passwd	3.5.43
bash	4.4-5
binutils	2.28-5
bison	2:3.0.4.dfsg-1+b1
bsdutils	1:2.29.2-1+deb9u1
build-essential	12.3
bzip2	1.0.6-8.1
ca-certificates	20200601~deb9u1
coreutils	8.26-3
cpp	4:6.3.0-4
cpp-6	6.3.0-18+deb9u1
dash	0.5.8-2.4
debconf	1.5.61
debian-archive-keyring	2017.5+deb9u1
debianutils	4.8.1.1
diffutils	1:3.5-3
dpkg	1.18.25
dpkg-dev	1.18.25
e2fslibs	1.43.4-2+deb9u1
e2fsprogs	1.43.4-2+deb9u1
findutils	4.6.0+git+20161106-2
flex	2.6.1-1.3
g++	4:6.3.0-4
g++-6	6.3.0-18+deb9u1
gcc	4:6.3.0-4
gcc-6	6.3.0-18+deb9u1
gcc-6-base	6.3.0-18+deb9u1
gpgv	2.1.18-8~deb9u4
grep	2.27-2
gzip	1.6-5+b1
hdf5-helpers	1.10.0-patch1+docs-3+deb9u1
hostname	3.18+b1
init-system-helpers	1.48
libacl1	2.2.52-3+b1
libaec-dev	0.3.2-1
libaec0	0.3.2-1
libapt-pkg5.0	1.4.10
libasan3	6.3.0-18+deb9u1
libatomic1	6.3.0-18+deb9u1
libattr1	1:2.4.47-2+b2
libaudit-common	1:2.6.7-2
libaudit1	1:2.6.7-2
libbison-dev	2:3.0.4.dfsg-1+b1
libblkid1	2.29.2-1+deb9u1
libbz2-1.0	1.0.6-8.1
libc-bin	2.24-11+deb9u4
libc-dev-bin	2.24-11+deb9u4
libc6	2.24-11+deb9u4
libc6-dev	2.24-11+deb9u4
libcap-ng0	0.7.7-3+b1
libcc1-0	6.3.0-18+deb9u1
libcilkrts5	6.3.0-18+deb9u1
libcomerr2	1.43.4-2+deb9u1
libcurl3	7.52.1-5+deb9u10
libcurl4-openssl-dev	7.52.1-5+deb9u10
libdb5.3	5.3.28-12+deb9u1
libdebconfclient0	0.227
libdpkg-perl	1.18.25
libfdisk1	2.29.2-1+deb9u1
libffi6	3.2.1-6
libfftw3-bin	3.3.5-3
libfftw3-dev	3.3.5-3
libfftw3-double3	3.3.5-3
libfftw3-long3	3.3.5-3
libfftw3-quad3	3.3.5-3
libfftw3-single3	3.3.5-3
libgcc-6-dev	6.3.0-18+deb9u1
libgcc1	1:6.3.0-18+deb9u1
libgcrypt20	1.7.6-2+deb9u3
libgdbm3	1.8.3-14
libgfortran3	6.3.0-18+deb9u1
libglib2.0-0	2.50.3-2+deb9u2
libgmp-dev	2:6.1.2+dfsg-1
libgmp10	2:6.1.2+dfsg-1
libgmpxx4ldbl	2:6.1.2+dfsg-1
libgnutls30	3.5.8-5+deb9u5
libgomp1	6.3.0-18+deb9u1
libgpg-error0	1.26-2
libgssapi-krb5-2	1.15-1+deb9u1
libhdf5-100	1.10.0-patch1+docs-3+deb9u1
libhdf5-cpp-100	1.10.0-patch1+docs-3+deb9u1
libhdf5-dev	1.10.0-patch1+docs-3+deb9u1
libhogweed4	3.3-1+b2
libidn11	1.33-1+deb9u1
libidn2-0	0.16-1+deb9u1
libisl-dev	0.18-1
libisl15	0.18-1
libitm1	6.3.0-18+deb9u1
libjbig-dev	2.1-3.1+b2
libjbig0	2.1-3.1+b2
libjemalloc-dev	3.6.0-9.1
libjemalloc1	3.6.0-9.1
libjpeg-dev	1:1.5.1-2
libjpeg62-turbo	1:1.5.1-2
libjpeg62-turbo-dev	1:1.5.1-2
libk5crypto3	1.15-1+deb9u1
libkeyutils1	1.5.9-9
libkrb5-3	1.15-1+deb9u1
libkrb5support0	1.15-1+deb9u1
libldap-2.4-2	2.4.44+dfsg-5+deb9u4
libldap-common	2.4.44+dfsg-5+deb9u4
liblsan0	6.3.0-18+deb9u1
liblz4-1	0.0~r131-2+b1
liblzma-dev	5.2.2-1.2+b1
liblzma5	5.2.2-1.2+b1
libmount1	2.29.2-1+deb9u1
libmpc-dev	1.0.3-1+b2
libmpc3	1.0.3-1+b2
libmpfr-dev	3.1.5-1
libmpfr4	3.1.5-1
libmpx2	6.3.0-18+deb9u1
libncursesw5	6.0+20161126-1+deb9u2
libnettle6	3.3-1+b2
libnghttp2-14	1.18.1-1+deb9u1
libomp-dev	3.9.1-1
libomp5	3.9.1-1
liborc-0.4-0	1:0.4.26-2
libp11-kit0	0.23.3-2
libpam-modules	1.1.8-3.6
libpam-modules-bin	1.1.8-3.6
libpam-runtime	1.1.8-3.6
libpam0g	1.1.8-3.6
libpcre3	2:8.39-3
libperl5.24	5.24.1-3+deb9u7
libpng-dev	1.6.28-1+deb9u1
libpng16-16	1.6.28-1+deb9u1
libpsl5	0.17.0-3
libquadmath0	6.3.0-18+deb9u1
librtmp1	2.4+20151223.gitfa8646d.1-1+b1
libsasl2-2	2.1.27~101-g0780600+dfsg-3+deb9u1
libsasl2-modules-db	2.1.27~101-g0780600+dfsg-3+deb9u1
libselinux1	2.6-3+b3
libsemanage-common	2.6-2
libsemanage1	2.6-2
libsepol1	2.6-2
libsigsegv2	2.10-5
libsmartcols1	2.29.2-1+deb9u1
libsqlite3-0	3.16.2-5+deb9u1
libsqlite3-dev	3.16.2-5+deb9u1
libss2	1.43.4-2+deb9u1
libssh2-1	1.7.0-1+deb9u1
libssl1.0.2	1.0.2u-1~deb9u1
libssl1.1	1.1.0l-1~deb9u1
libstdc++-6-dev	6.3.0-18+deb9u1
libstdc++6	6.3.0-18+deb9u1
libsystemd0	232-25+deb9u12
libsz2	0.3.2-1
libtasn1-6	4.10-1.1+deb9u1
libtiff5	4.0.8-2+deb9u5
libtiff5-dev	4.0.8-2+deb9u5
libtiffxx5	4.0.8-2+deb9u5
libtinfo5	6.0+20161126-1+deb9u2
libtsan0	6.3.0-18+deb9u1
libubsan0	6.3.0-18+deb9u1
libudev1	232-25+deb9u12
libunistring0	0.9.6+really0.9.3-0.1
libustr-1.0-1	1.0.4-6
libuuid1	2.29.2-1+deb9u1
libvolk1-dev	1.3-1+b4
libvolk1.3	1.3-1+b4
libzstd-dev	1.1.2-1
libzstd1	1.1.2-1
linux-libc-dev	4.9.228-1
login	1:4.4-4.1
lsb-base	9.20161125
m4	1.4.18-1
make	4.1-9.1
mawk	1.3.3-17+b3
mount	2.29.2-1+deb9u1
multiarch-support	2.24-11+deb9u4
ncurses-base	6.0+20161126-1+deb9u2
ncurses-bin	6.0+20161126-1+deb9u2
openssl	1.1.0l-1~deb9u1
passwd	1:4.4-4.1
patch	2.7.5-1+deb9u2
perl	5.24.1-3+deb9u7
perl-base	5.24.1-3+deb9u7
perl-modules-5.24	5.24.1-3+deb9u7
pkg-config	0.29-4+b1
sed	4.4-1
sensible-utils	0.0.9+deb9u1
sysvinit-utils	2.88dsf-59.9
tar	1.29b-1.1
tzdata	2020a-0+deb9u1
util-linux	2.29.2-1+deb9u1
xz-utils	5.2.2-1.2+b1
zlib1g	1:1.2.8.dfsg-5
zlib1g-dev	1:1.2.8.dfsg-5
